订单号,订单日期,品类,商品名称,数量,单价,销售额,成本,利润,地区,渠道,客户类型
SO-20250728-0452,2025-07-28 22:00:00,服装鞋帽,轻薄羽绒服,5,899,4495,2648.39,1846.61,华南,线下门店,老客
SO-20250730-0453,2025-07-30 02:00:00,家居日用,落地灯,1,199,199,154.18,44.82,华南,线上商城,老客
SO-20250731-0454,2025-07-31 02:00:00,家居日用,水洗棉四件套,4,329,1316,915.38,400.62,东北,直播带货,老客
SO-20250731-0455,2025-07-31 13:00:00,电子产品,机械键盘,3,499,1497,1178.29,318.71,华北,线上商城,新客
SO-20250801-0456,2025-08-01 06:00:00,电子产品,智能手表,3,1299,3897,2966.38,930.62,华中,线上商城,会员
SO-20250801-0457,2025-08-01 07:00:00,电子产品,无线蓝牙耳机,5,299,1495,831.02,663.98,华东,线下门店,新客
SO-20250801-0458,2025-08-01 10:00:00,食品饮料,坚果礼盒,2,158,316,216.54,99.46,华东,直播带货,会员
SO-20250801-0459,2025-08-01 16:00:00,服装鞋帽,纯棉T恤,1,79,79,49.54,29.46,华中,小程序,老客
SO-20250802-0460,2025-08-02 05:00:00,电子产品,机械键盘,2,499,998,746.99,251.01,华中,直播带货,会员
SO-20250802-0461,2025-08-02 14:00:00,美妆个护,氨基酸洗面奶,4,89,356,258.98,97.02,西南,小程序,新客
SO-20250803-0462,2025-08-03 07:00:00,食品饮料,有机牛奶,2,59,118,91.99,26.01,华北,直播带货,老客
SO-20250803-0463,2025-08-03 13:00:00,家居日用,水洗棉四件套,2,329,658,403.22,254.78,西南,线上商城,新客
SO-20250803-0464,2025-08-03 20:00:00,美妆个护,氨基酸洗面奶,5,89,445,359.25,85.75,华东,直播带货,新客
SO-20250804-0465,2025-08-04 02:00:00,家居日用,香薰蜡烛,1,69,69,44.63,24.37,华中,直播带货,老客
SO-20250804-0466,2025-08-04 11:00:00,美妆个护,口红,4,219,876,575.68,300.32,华东,直播带货,老客
SO-20250805-0467,2025-08-05 01:00:00,电子产品,机械键盘,1,499,499,406.49,92.51,华北,小程序,会员
SO-20250805-0468,2025-08-05 07:00:00,服装鞋帽,运动鞋,2,399,798,598.84,199.16,华北,线上商城,老客
SO-20250805-0469,2025-08-05 14:00:00,美妆个护,淡香水,2,499,998,708.25,289.75,华南,直播带货,会员
SO-20250805-0470,2025-08-05 16:00:00,电子产品,机械键盘,3,499,1497,1139.68,357.32,东北,线下门店,会员
SO-20250806-0471,2025-08-06 15:00:00,食品饮料,精品咖啡豆,3,108,324,201.3,122.7,华中,线上商城,新客
SO-20250807-0472,2025-08-07 01:00:00,美妆个护,淡香水,1,499,499,364.58,134.42,东北,线上商城,老客
SO-20250807-0473,2025-08-07 07:00:00,电子产品,智能手表,1,1299,1299,788.9,510.1,东北,线下门店,老客
SO-20250807-0474,2025-08-07 11:00:00,服装鞋帽,纯棉T恤,1,79,79,51.0,28.0,华中,线上商城,老客
SO-20250807-0475,2025-08-07 18:00:00,电子产品,便携充电宝,1,129,129,104.15,24.85,东北,直播带货,老客
SO-20250808-0476,2025-08-08 07:00:00,家居日用,水洗棉四件套,2,329,658,383.16,274.84,西南,直播带货,老客
SO-20250808-0477,2025-08-08 18:00:00,美妆个护,淡香水,2,499,998,584.95,413.05,华北,小程序,会员
SO-20250809-0478,2025-08-09 12:00:00,食品饮料,精品咖啡豆,5,108,540,440.84,99.16,西南,小程序,新客
SO-20250810-0479,2025-08-10 03:00:00,电子产品,无线蓝牙耳机,5,299,1495,1145.77,349.23,东北,线上商城,新客
SO-20250810-0480,2025-08-10 04:00:00,服装鞋帽,轻薄羽绒服,4,899,3596,2820.31,775.69,华中,小程序,新客
SO-20250811-0481,2025-08-11 15:00:00,美妆个护,淡香水,3,499,1497,875.55,621.45,西南,线下门店,新客
SO-20250811-0482,2025-08-11 19:00:00,美妆个护,保湿精华,2,359,718,548.22,169.78,东北,线下门店,新客
SO-20250812-0483,2025-08-12 03:00:00,食品饮料,进口红酒,3,268,804,618.02,185.98,华中,直播带货,新客
SO-20250812-0484,2025-08-12 23:00:00,家居日用,香薰蜡烛,1,69,69,43.13,25.87,华中,线上商城,会员
SO-20250813-0485,2025-08-13 16:00:00,美妆个护,保湿精华,1,359,359,237.42,121.58,东北,线上商城,新客
SO-20250814-0486,2025-08-14 01:00:00,家居日用,收纳箱,4,45,180,130.71,49.29,华南,线上商城,会员
SO-20250814-0487,2025-08-14 01:00:00,食品饮料,进口红酒,4,268,1072,674.09,397.91,华北,线上商城,新客
SO-20250815-0488,2025-08-15 04:00:00,食品饮料,坚果礼盒,1,158,158,126.49,31.51,东北,直播带货,会员
SO-20250815-0489,2025-08-15 04:00:00,电子产品,机械键盘,1,499,499,315.04,183.96,华北,直播带货,会员
SO-20250815-0490,2025-08-15 06:00:00,服装鞋帽,轻薄羽绒服,1,899,899,663.57,235.43,华中,线下门店,会员
SO-20250815-0491,2025-08-15 08:00:00,服装鞋帽,轻薄羽绒服,3,899,2697,1948.82,748.18,西南,小程序,老客
SO-20250816-0492,2025-08-16 12:00:00,美妆个护,保湿精华,4,359,1436,1041.87,394.13,华东,小程序,会员
SO-20250816-0493,2025-08-16 14:00:00,食品饮料,进口红酒,1,268,268,157.17,110.83,华南,小程序,老客
SO-20250817-0494,2025-08-17 07:00:00,家居日用,落地灯,2,199,398,253.34,144.66,华中,线下门店,老客
SO-20250818-0495,2025-08-18 09:00:00,美妆个护,氨基酸洗面奶,1,89,89,59.07,29.93,华东,线上商城,新客
SO-20250819-0496,2025-08-19 13:00:00,美妆个护,淡香水,2,499,998,753.17,244.83,华中,直播带货,新客
SO-20250819-0497,2025-08-19 20:00:00,电子产品,智能手表,3,1299,3897,2311.17,1585.83,华中,小程序,会员
SO-20250820-0498,2025-08-20 11:00:00,美妆个护,淡香水,5,499,2495,1661.26,833.74,华东,直播带货,老客
SO-20250820-0499,2025-08-20 15:00:00,家居日用,收纳箱,3,45,135,89.26,45.74,华东,直播带货,会员
SO-20250820-0500,2025-08-20 16:00:00,电子产品,机械键盘,3,499,1497,1047.1,449.9,华东,小程序,会员
SO-20250821-0501,2025-08-21 19:00:00,家居日用,水洗棉四件套,1,329,329,212.17,116.83,华南,线上商城,会员
SO-20250821-0502,2025-08-21 20:00:00,美妆个护,口红,3,219,657,513.24,143.76,华中,小程序,新客
SO-20250822-0503,2025-08-22 00:00:00,食品饮料,有机牛奶,2,59,118,81.53,36.47,东北,小程序,老客
SO-20250822-0504,2025-08-22 05:00:00,电子产品,便携充电宝,2,129,258,201.81,56.19,华北,线下门店,新客
SO-20250822-0505,2025-08-22 10:00:00,家居日用,落地灯,4,199,796,495.07,300.93,华东,线上商城,老客
SO-20250822-0506,2025-08-22 13:00:00,食品饮料,进口红酒,1,268,268,165.11,102.89,华南,小程序,会员
SO-20250822-0507,2025-08-22 17:00:00,美妆个护,口红,1,219,219,153.42,65.58,华中,直播带货,会员
SO-20250823-0508,2025-08-23 12:00:00,食品饮料,坚果礼盒,3,158,474,331.37,142.63,东北,线下门店,新客
SO-20250823-0509,2025-08-23 16:00:00,服装鞋帽,运动鞋,4,399,1596,1251.48,344.52,西南,线下门店,老客
SO-20250825-0510,2025-08-25 07:00:00,食品饮料,进口红酒,2,268,536,314.34,221.66,华北,直播带货,新客
SO-20250825-0511,2025-08-25 16:00:00,食品饮料,精品咖啡豆,5,108,540,411.14,128.86,西南,小程序,会员
SO-20250826-0512,2025-08-26 03:00:00,电子产品,便携充电宝,4,129,516,345.11,170.89,西南,线下门店,老客
SO-20250826-0513,2025-08-26 04:00:00,服装鞋帽,轻薄羽绒服,5,899,4495,2800.51,1694.49,西南,直播带货,老客
SO-20250826-0514,2025-08-26 12:00:00,服装鞋帽,纯棉T恤,5,79,395,236.39,158.61,华北,线上商城,老客
SO-20250826-0515,2025-08-26 13:00:00,服装鞋帽,运动鞋,1,399,399,233.26,165.74,华南,线下门店,会员
SO-20250826-0516,2025-08-26 16:00:00,服装鞋帽,纯棉T恤,3,79,237,156.57,80.43,华南,线上商城,会员
SO-20250826-0517,2025-08-26 19:00:00,食品饮料,进口红酒,1,268,268,157.15,110.85,东北,线上商城,新客
SO-20250826-0518,2025-08-26 22:00:00,家居日用,收纳箱,3,45,135,87.97,47.03,东北,线上商城,会员
SO-20250827-0519,2025-08-27 04:00:00,家居日用,水洗棉四件套,5,329,1645,1087.67,557.33,华北,线上商城,会员
SO-20250827-0520,2025-08-27 04:00:00,美妆个护,淡香水,3,499,1497,1148.48,348.52,西南,小程序,会员
SO-20250827-0521,2025-08-27 13:00:00,美妆个护,保湿精华,5,359,1795,1204.73,590.27,东北,直播带货,新客
SO-20250827-0522,2025-08-27 19:00:00,美妆个护,氨基酸洗面奶,4,89,356,228.61,127.39,华中,小程序,会员
SO-20250827-0523,2025-08-27 20:00:00,电子产品,无线蓝牙耳机,1,299,299,218.41,80.59,华北,线下门店,老客
SO-20250829-0524,2025-08-29 02:00:00,家居日用,水洗棉四件套,5,329,1645,1307.51,337.49,华北,线上商城,老客
SO-20250830-0525,2025-08-30 01:00:00,食品饮料,有机牛奶,3,59,177,122.77,54.23,华南,线下门店,会员
SO-20250831-0526,2025-08-31 11:00:00,美妆个护,淡香水,2,499,998,687.88,310.12,东北,线下门店,会员
SO-20250901-0527,2025-09-01 09:00:00,电子产品,智能手表,5,1299,6495,4237.1,2257.9,西南,直播带货,会员
SO-20250901-0528,2025-09-01 22:00:00,食品饮料,精品咖啡豆,4,108,432,281.54,150.46,华中,小程序,新客
SO-20250904-0529,2025-09-04 07:00:00,电子产品,便携充电宝,4,129,516,345.75,170.25,华北,直播带货,新客
SO-20250904-0530,2025-09-04 09:00:00,美妆个护,淡香水,1,499,499,285.88,213.12,华北,直播带货,会员
SO-20250905-0531,2025-09-05 10:00:00,美妆个护,口红,3,219,657,479.66,177.34,东北,直播带货,新客
SO-20250905-0532,2025-09-05 21:00:00,服装鞋帽,牛仔裤,3,259,777,518.05,258.95,华东,线下门店,新客
SO-20250906-0533,2025-09-06 05:00:00,食品饮料,坚果礼盒,5,158,790,573.98,216.02,华中,线上商城,会员
SO-20250906-0534,2025-09-06 08:00:00,家居日用,水洗棉四件套,5,329,1645,1154.66,490.34,华东,线上商城,老客
SO-20250906-0535,2025-09-06 14:00:00,电子产品,便携充电宝,1,129,129,79.59,49.41,东北,线上商城,会员
SO-20250907-0536,2025-09-07 03:00:00,家居日用,落地灯,1,199,199,117.48,81.52,华北,线下门店,新客
SO-20250907-0537,2025-09-07 05:00:00,美妆个护,口红,2,219,438,282.9,155.1,华北,小程序,老客
SO-20250907-0538,2025-09-07 15:00:00,电子产品,便携充电宝,2,129,258,182.87,75.13,华北,直播带货,老客
SO-20250908-0539,2025-09-08 02:00:00,食品饮料,精品咖啡豆,3,108,324,226.22,97.78,东北,线下门店,老客
SO-20250909-0540,2025-09-09 13:00:00,美妆个护,口红,3,219,657,497.7,159.3,东北,直播带货,老客
SO-20250909-0541,2025-09-09 20:00:00,服装鞋帽,运动鞋,1,399,399,266.97,132.03,华北,小程序,老客
SO-20250910-0542,2025-09-10 13:00:00,美妆个护,淡香水,4,499,1996,1539.61,456.39,西南,线上商城,会员
SO-20250911-0543,2025-09-11 21:00:00,电子产品,机械键盘,2,499,998,586.36,411.64,华中,线下门店,会员
SO-20250912-0544,2025-09-12 03:00:00,美妆个护,保湿精华,3,359,1077,722.09,354.91,华东,直播带货,新客
SO-20250912-0545,2025-09-12 21:00:00,家居日用,落地灯,5,199,995,812.33,182.67,华中,直播带货,新客
SO-20250913-0546,2025-09-13 11:00:00,美妆个护,氨基酸洗面奶,3,89,267,200.9,66.1,华南,小程序,新客
SO-20250913-0547,2025-09-13 11:00:00,家居日用,水洗棉四件套,5,329,1645,966.19,678.81,华中,小程序,新客
SO-20250915-0548,2025-09-15 01:00:00,电子产品,智能手表,3,1299,3897,2276.52,1620.48,华中,线上商城,老客
SO-20250915-0549,2025-09-15 17:00:00,美妆个护,保湿精华,1,359,359,290.44,68.56,华中,直播带货,老客
SO-20250915-0550,2025-09-15 18:00:00,家居日用,香薰蜡烛,1,69,69,53.36,15.64,东北,直播带货,老客
SO-20250916-0551,2025-09-16 03:00:00,食品饮料,有机牛奶,4,59,236,192.75,43.25,华南,线下门店,老客
SO-20250916-0552,2025-09-16 06:00:00,家居日用,水洗棉四件套,1,329,329,257.57,71.43,东北,线上商城,新客
SO-20250916-0553,2025-09-16 07:00:00,美妆个护,口红,4,219,876,671.34,204.66,西南,小程序,新客
SO-20250917-0554,2025-09-17 05:00:00,电子产品,无线蓝牙耳机,5,299,1495,1165.89,329.11,西南,线下门店,会员
SO-20250917-0555,2025-09-17 15:00:00,电子产品,智能手表,3,1299,3897,2162.75,1734.25,华南,直播带货,老客
SO-20250917-0556,2025-09-17 16:00:00,服装鞋帽,牛仔裤,3,259,777,461.7,315.3,华东,直播带货,会员
SO-20250918-0557,2025-09-18 15:00:00,美妆个护,淡香水,3,499,1497,994.12,502.88,西南,直播带货,老客
SO-20250919-0558,2025-09-19 05:00:00,服装鞋帽,运动鞋,4,399,1596,1216.84,379.16,华东,线上商城,会员
SO-20250919-0559,2025-09-19 17:00:00,电子产品,机械键盘,4,499,1996,1346.71,649.29,华东,线下门店,老客
SO-20250919-0560,2025-09-19 21:00:00,电子产品,便携充电宝,5,129,645,487.3,157.7,华中,小程序,新客
SO-20250920-0561,2025-09-20 02:00:00,电子产品,便携充电宝,2,129,258,172.74,85.26,华北,线上商城,会员
SO-20250920-0562,2025-09-20 04:00:00,电子产品,机械键盘,5,499,2495,1767.13,727.87,华北,直播带货,会员
SO-20250920-0563,2025-09-20 07:00:00,美妆个护,淡香水,1,499,499,280.83,218.17,东北,线上商城,新客
SO-20250920-0564,2025-09-20 10:00:00,电子产品,无线蓝牙耳机,3,299,897,588.3,308.7,华南,线下门店,会员
SO-20250920-0565,2025-09-20 13:00:00,美妆个护,口红,5,219,1095,864.66,230.34,西南,直播带货,老客
SO-20250920-0566,2025-09-20 16:00:00,食品饮料,进口红酒,1,268,268,206.9,61.1,西南,小程序,会员
SO-20250921-0567,2025-09-21 11:00:00,美妆个护,保湿精华,4,359,1436,855.28,580.72,华中,线下门店,会员
SO-20250921-0568,2025-09-21 16:00:00,家居日用,落地灯,3,199,597,475.86,121.14,东北,线下门店,会员
SO-20250921-0569,2025-09-21 19:00:00,家居日用,水洗棉四件套,5,329,1645,1114.6,530.4,西南,小程序,新客
SO-20250922-0570,2025-09-22 00:00:00,食品饮料,坚果礼盒,2,158,316,216.97,99.03,华东,线下门店,老客
SO-20250922-0571,2025-09-22 01:00:00,家居日用,收纳箱,1,45,45,36.12,8.88,华东,线下门店,会员
SO-20250922-0572,2025-09-22 10:00:00,电子产品,便携充电宝,1,129,129,98.11,30.89,华北,线上商城,会员
SO-20250922-0573,2025-09-22 15:00:00,食品饮料,精品咖啡豆,4,108,432,296.96,135.04,东北,直播带货,老客
SO-20250923-0574,2025-09-23 21:00:00,家居日用,水洗棉四件套,1,329,329,184.79,144.21,东北,线上商城,会员
SO-20250923-0575,2025-09-23 23:00:00,食品饮料,坚果礼盒,2,158,316,235.27,80.73,西南,小程序,老客
SO-20250924-0576,2025-09-24 08:00:00,家居日用,落地灯,1,199,199,139.16,59.84,东北,线下门店,老客
SO-20250924-0577,2025-09-24 09:00:00,电子产品,无线蓝牙耳机,5,299,1495,1126.83,368.17,东北,线上商城,老客
SO-20250925-0578,2025-09-25 14:00:00,美妆个护,淡香水,1,499,499,324.16,174.84,东北,线上商城,老客
SO-20250925-0579,2025-09-25 17:00:00,服装鞋帽,运动鞋,5,399,1995,1570.38,424.62,西南,直播带货,老客
SO-20250926-0580,2025-09-26 03:00:00,食品饮料,精品咖啡豆,5,108,540,325.15,214.85,华东,直播带货,新客
SO-20250926-0581,2025-09-26 19:00:00,家居日用,水洗棉四件套,4,329,1316,964.7,351.3,华南,小程序,会员
SO-20250927-0582,2025-09-27 07:00:00,食品饮料,坚果礼盒,3,158,474,293.65,180.35,华南,线下门店,新客
SO-20250927-0583,2025-09-27 21:00:00,电子产品,机械键盘,4,499,1996,1529.41,466.59,华北,线上商城,会员
SO-20250928-0584,2025-09-28 06:00:00,服装鞋帽,牛仔裤,3,259,777,502.8,274.2,华南,小程序,新客
SO-20250928-0585,2025-09-28 06:00:00,家居日用,水洗棉四件套,2,329,658,526.58,131.42,东北,线上商城,会员
SO-20250928-0586,2025-09-28 16:00:00,电子产品,机械键盘,5,499,2495,1688.03,806.97,东北,线上商城,会员
SO-20250930-0587,2025-09-30 13:00:00,服装鞋帽,纯棉T恤,1,79,79,47.61,31.39,华东,小程序,会员
SO-20250930-0588,2025-09-30 18:00:00,服装鞋帽,轻薄羽绒服,1,899,899,711.62,187.38,华中,直播带货,老客
SO-20251002-0589,2025-10-02 00:00:00,服装鞋帽,轻薄羽绒服,2,899,1798,1271.65,526.35,东北,线上商城,会员
SO-20251002-0590,2025-10-02 01:00:00,家居日用,收纳箱,1,45,45,34.39,10.61,华中,线上商城,新客
SO-20251002-0591,2025-10-02 02:00:00,家居日用,落地灯,5,199,995,690.01,304.99,西南,线上商城,新客
SO-20251002-0592,2025-10-02 03:00:00,家居日用,收纳箱,3,45,135,98.04,36.96,东北,小程序,新客
SO-20251002-0593,2025-10-02 05:00:00,家居日用,收纳箱,4,45,180,102.6,77.4,华北,线上商城,老客
SO-20251002-0594,2025-10-02 07:00:00,家居日用,水洗棉四件套,4,329,1316,766.05,549.95,华中,线上商城,老客
SO-20251003-0595,2025-10-03 04:00:00,美妆个护,氨基酸洗面奶,3,89,267,192.92,74.08,华东,小程序,会员
SO-20251004-0596,2025-10-04 02:00:00,食品饮料,精品咖啡豆,1,108,108,74.42,33.58,华北,线下门店,老客
SO-20251004-0597,2025-10-04 16:00:00,食品饮料,坚果礼盒,3,158,474,380.94,93.06,华北,小程序,会员
SO-20251005-0598,2025-10-05 03:00:00,电子产品,无线蓝牙耳机,1,299,299,209.17,89.83,华南,线上商城,会员
SO-20251005-0599,2025-10-05 08:00:00,美妆个护,口红,5,219,1095,832.38,262.62,华南,直播带货,老客
SO-20251006-0600,2025-10-06 07:00:00,家居日用,香薰蜡烛,5,69,345,214.95,130.05,华中,直播带货,老客
SO-20251006-0601,2025-10-06 09:00:00,电子产品,智能手表,1,1299,1299,951.3,347.7,华中,小程序,会员
SO-20251006-0602,2025-10-06 12:00:00,服装鞋帽,牛仔裤,4,259,1036,772.81,263.19,西南,直播带货,会员
SO-20251006-0603,2025-10-06 22:00:00,食品饮料,有机牛奶,4,59,236,142.53,93.47,华南,直播带货,新客
SO-20251007-0604,2025-10-07 03:00:00,电子产品,智能手表,2,1299,2598,2043.88,554.12,华中,线下门店,新客
SO-20251007-0605,2025-10-07 08:00:00,电子产品,无线蓝牙耳机,4,299,1196,689.1,506.9,华东,线下门店,会员
SO-20251008-0606,2025-10-08 17:00:00,服装鞋帽,牛仔裤,3,259,777,574.49,202.51,东北,小程序,老客
SO-20251008-0607,2025-10-08 22:00:00,家居日用,水洗棉四件套,4,329,1316,825.0,491.0,华中,小程序,老客
SO-20251009-0608,2025-10-09 02:00:00,电子产品,无线蓝牙耳机,4,299,1196,915.89,280.11,华中,小程序,老客
SO-20251009-0609,2025-10-09 03:00:00,美妆个护,氨基酸洗面奶,5,89,445,302.53,142.47,华南,直播带货,老客
SO-20251009-0610,2025-10-09 17:00:00,家居日用,收纳箱,5,45,225,146.77,78.23,华南,小程序,新客
SO-20251009-0611,2025-10-09 17:00:00,家居日用,香薰蜡烛,4,69,276,179.99,96.01,华中,线下门店,会员
SO-20251012-0612,2025-10-12 12:00:00,服装鞋帽,牛仔裤,3,259,777,562.14,214.86,西南,线下门店,会员
SO-20251012-0613,2025-10-12 21:00:00,食品饮料,坚果礼盒,3,158,474,368.36,105.64,西南,直播带货,新客
SO-20251012-0614,2025-10-12 22:00:00,美妆个护,氨基酸洗面奶,5,89,445,308.72,136.28,西南,线下门店,老客
SO-20251012-0615,2025-10-12 23:00:00,食品饮料,进口红酒,2,268,536,361.21,174.79,西南,小程序,新客
SO-20251013-0616,2025-10-13 17:00:00,家居日用,水洗棉四件套,1,329,329,264.66,64.34,华南,线上商城,会员
SO-20251015-0617,2025-10-15 02:00:00,电子产品,智能手表,4,1299,5196,3184.05,2011.95,西南,线上商城,老客
SO-20251015-0618,2025-10-15 05:00:00,家居日用,收纳箱,1,45,45,29.8,15.2,华东,线上商城,老客
SO-20251015-0619,2025-10-15 23:00:00,美妆个护,口红,4,219,876,651.36,224.64,华北,小程序,新客
SO-20251016-0620,2025-10-16 01:00:00,食品饮料,坚果礼盒,4,158,632,504.36,127.64,华南,线上商城,会员
SO-20251016-0621,2025-10-16 14:00:00,美妆个护,保湿精华,3,359,1077,671.05,405.95,华北,线下门店,新客
SO-20251016-0622,2025-10-16 22:00:00,家居日用,香薰蜡烛,1,69,69,39.54,29.46,华南,直播带货,新客
SO-20251017-0623,2025-10-17 10:00:00,家居日用,水洗棉四件套,1,329,329,256.26,72.74,华中,线下门店,会员
SO-20251017-0624,2025-10-17 15:00:00,美妆个护,淡香水,3,499,1497,1004.07,492.93,西南,直播带货,老客
SO-20251017-0625,2025-10-17 22:00:00,电子产品,便携充电宝,4,129,516,307.89,208.11,西南,线上商城,会员
SO-20251018-0626,2025-10-18 20:00:00,电子产品,机械键盘,1,499,499,275.44,223.56,华中,线下门店,老客
SO-20251019-0627,2025-10-19 02:00:00,食品饮料,有机牛奶,3,59,177,138.91,38.09,西南,小程序,老客
SO-20251019-0628,2025-10-19 13:00:00,服装鞋帽,轻薄羽绒服,5,899,4495,3278.82,1216.18,华南,线下门店,新客
SO-20251019-0629,2025-10-19 22:00:00,家居日用,收纳箱,2,45,90,57.14,32.86,西南,线下门店,老客
SO-20251020-0630,2025-10-20 05:00:00,家居日用,水洗棉四件套,3,329,987,707.48,279.52,西南,线下门店,老客
SO-20251020-0631,2025-10-20 06:00:00,美妆个护,氨基酸洗面奶,1,89,89,69.22,19.78,东北,线上商城,会员
SO-20251020-0632,2025-10-20 11:00:00,食品饮料,有机牛奶,5,59,295,175.82,119.18,东北,直播带货,老客
SO-20251020-0633,2025-10-20 18:00:00,食品饮料,有机牛奶,4,59,236,188.85,47.15,东北,小程序,老客
SO-20251020-0634,2025-10-20 19:00:00,电子产品,机械键盘,2,499,998,677.81,320.19,华东,直播带货,新客
SO-20251021-0635,2025-10-21 14:00:00,电子产品,机械键盘,4,499,1996,1349.68,646.32,西南,线下门店,会员
SO-20251022-0636,2025-10-22 02:00:00,食品饮料,有机牛奶,2,59,118,72.78,45.22,西南,小程序,会员
SO-20251022-0637,2025-10-22 02:00:00,电子产品,智能手表,3,1299,3897,3085.23,811.77,西南,线上商城,会员
SO-20251022-0638,2025-10-22 04:00:00,电子产品,智能手表,2,1299,2598,1489.79,1108.21,华南,线上商城,老客
SO-20251022-0639,2025-10-22 08:00:00,电子产品,机械键盘,4,499,1996,1264.04,731.96,华东,线下门店,老客
SO-20251023-0640,2025-10-23 18:00:00,服装鞋帽,运动鞋,4,399,1596,1040.62,555.38,东北,小程序,新客
SO-20251024-0641,2025-10-24 10:00:00,食品饮料,坚果礼盒,4,158,632,433.9,198.1,华东,小程序,老客
SO-20251024-0642,2025-10-24 10:00:00,服装鞋帽,牛仔裤,2,259,518,405.28,112.72,华东,直播带货,老客
SO-20251024-0643,2025-10-24 15:00:00,美妆个护,氨基酸洗面奶,4,89,356,284.49,71.51,东北,小程序,老客
SO-20251025-0644,2025-10-25 02:00:00,食品饮料,坚果礼盒,3,158,474,282.07,191.93,华北,线上商城,新客
SO-20251025-0645,2025-10-25 06:00:00,服装鞋帽,轻薄羽绒服,5,899,4495,2757.77,1737.23,东北,直播带货,老客
SO-20251025-0646,2025-10-25 08:00:00,食品饮料,进口红酒,2,268,536,425.42,110.58,华南,线下门店,老客
SO-20251027-0647,2025-10-27 00:00:00,服装鞋帽,牛仔裤,5,259,1295,884.57,410.43,华南,线下门店,新客
SO-20251027-0648,2025-10-27 12:00:00,服装鞋帽,运动鞋,3,399,1197,736.16,460.84,华北,直播带货,新客
SO-20251028-0649,2025-10-28 05:00:00,服装鞋帽,牛仔裤,3,259,777,435.11,341.89,华东,直播带货,会员
SO-20251028-0650,2025-10-28 08:00:00,家居日用,水洗棉四件套,2,329,658,397.14,260.86,华中,小程序,会员
SO-20251028-0651,2025-10-28 10:00:00,服装鞋帽,轻薄羽绒服,4,899,3596,2140.92,1455.08,华东,线上商城,新客
SO-20251029-0652,2025-10-29 07:00:00,食品饮料,坚果礼盒,3,158,474,329.37,144.63,华北,直播带货,新客
SO-20251029-0653,2025-10-29 16:00:00,食品饮料,进口红酒,5,268,1340,1096.99,243.01,华东,直播带货,老客
SO-20251029-0654,2025-10-29 18:00:00,电子产品,智能手表,2,1299,2598,1526.11,1071.89,华中,直播带货,新客
SO-20251030-0655,2025-10-30 11:00:00,电子产品,便携充电宝,3,129,387,283.06,103.94,华中,线上商城,老客
SO-20251030-0656,2025-10-30 15:00:00,家居日用,香薰蜡烛,3,69,207,129.34,77.66,东北,线上商城,老客
SO-20251031-0657,2025-10-31 17:00:00,食品饮料,进口红酒,3,268,804,527.97,276.03,华中,线下门店,会员
SO-20251101-0658,2025-11-01 04:00:00,服装鞋帽,轻薄羽绒服,1,899,899,733.93,165.07,华南,线上商城,会员
SO-20251101-0659,2025-11-01 10:00:00,家居日用,落地灯,1,199,199,146.06,52.94,华中,线上商城,会员
SO-20251102-0660,2025-11-02 01:00:00,电子产品,机械键盘,2,499,998,637.98,360.02,华南,小程序,会员
SO-20251102-0661,2025-11-02 13:00:00,家居日用,落地灯,2,199,398,314.33,83.67,华中,线上商城,老客
SO-20251102-0662,2025-11-02 18:00:00,美妆个护,淡香水,2,499,998,625.53,372.47,华中,直播带货,会员
SO-20251102-0663,2025-11-02 20:00:00,美妆个护,氨基酸洗面奶,5,89,445,249.57,195.43,华北,线上商城,新客
SO-20251104-0664,2025-11-04 13:00:00,电子产品,智能手表,1,1299,1299,828.05,470.95,华东,直播带货,新客
SO-20251104-0665,2025-11-04 13:00:00,家居日用,香薰蜡烛,3,69,207,165.23,41.77,华东,线下门店,新客
SO-20251104-0666,2025-11-04 23:00:00,食品饮料,坚果礼盒,4,158,632,373.48,258.52,华南,小程序,新客
SO-20251105-0667,2025-11-05 04:00:00,电子产品,机械键盘,3,499,1497,1128.95,368.05,华北,小程序,新客
SO-20251105-0668,2025-11-05 12:00:00,电子产品,便携充电宝,1,129,129,96.21,32.79,华中,直播带货,会员
SO-20251105-0669,2025-11-05 18:00:00,家居日用,水洗棉四件套,1,329,329,242.41,86.59,西南,直播带货,会员
SO-20251106-0670,2025-11-06 00:00:00,美妆个护,保湿精华,3,359,1077,708.43,368.57,华南,线上商城,新客
SO-20251106-0671,2025-11-06 15:00:00,家居日用,香薰蜡烛,2,69,138,84.38,53.62,西南,线上商城,会员
SO-20251106-0672,2025-11-06 19:00:00,美妆个护,淡香水,4,499,1996,1426.23,569.77,华南,线上商城,老客
SO-20251107-0673,2025-11-07 08:00:00,美妆个护,保湿精华,3,359,1077,774.61,302.39,华北,小程序,会员
SO-20251107-0674,2025-11-07 12:00:00,服装鞋帽,牛仔裤,3,259,777,441.48,335.52,东北,线下门店,新客
SO-20251107-0675,2025-11-07 12:00:00,电子产品,无线蓝牙耳机,1,299,299,199.67,99.33,华中,线上商城,新客
SO-20251107-0676,2025-11-07 19:00:00,电子产品,无线蓝牙耳机,4,299,1196,867.04,328.96,华东,小程序,会员
SO-20251108-0677,2025-11-08 02:00:00,电子产品,智能手表,2,1299,2598,1478.17,1119.83,华东,线下门店,会员
SO-20251108-0678,2025-11-08 11:00:00,食品饮料,精品咖啡豆,2,108,216,154.91,61.09,华北,线上商城,会员
